****在954475045发送比赛将在10分钟之后开始
****在952792192发送比赛将在10分钟之后开始
****在976813092发送比赛将在10分钟之后开始
****在1005680380发送比赛将在10分钟之后开始
****在863714537发送比赛将在10分钟之后开始
****在954475045发送每两题之间只有1分钟的时间回答
****在952792192发送每两题之间只有1分钟的时间回答
****在976813092发送每两题之间只有1分钟的时间回答
****在1005680380发送每两题之间只有1分钟的时间回答
****在863714537发送每两题之间只有1分钟的时间回答
 ***** 635691684风   在 群976813092 说了 机器人炸了我也不想管了。
****在954475045发送比赛将在10分钟之后开始
****在952792192发送比赛将在10分钟之后开始
****在976813092发送比赛将在10分钟之后开始
****在1005680380发送比赛将在10分钟之后开始
****在863714537发送比赛将在10分钟之后开始
****在954475045发送每两题之间只有1分钟的时间回答
****在952792192发送每两题之间只有1分钟的时间回答
****在976813092发送每两题之间只有1分钟的时间回答
****在1005680380发送每两题之间只有1分钟的时间回答
****在863714537发送每两题之间只有1分钟的时间回答
****在954475045发送只要回答的语句中包含答案字符即可算作回答正确。。。
****在952792192发送只要回答的语句中包含答案字符即可算作回答正确。。。
****在976813092发送只要回答的语句中包含答案字符即可算作回答正确。。。
****在1005680380发送只要回答的语句中包含答案字符即可算作回答正确。。。
****在863714537发送只要回答的语句中包含答案字符即可算作回答正确。。。
****在954475045发送得分情况按照第一名5分，第二名4分，第三名3分，其余回答正确的1分
****在952792192发送得分情况按照第一名5分，第二名4分，第三名3分，其余回答正确的1分
****在976813092发送得分情况按照第一名5分，第二名4分，第三名3分，其余回答正确的1分
****在1005680380发送得分情况按照第一名5分，第二名4分，第三名3分，其余回答正确的1分
****在863714537发送得分情况按照第一名5分，第二名4分，第三名3分，其余回答正确的1分
 ***** 1413445748岛起雾♡   在 群976813092 说了 [CQ:reply,id=371920724][CQ:at,qq=2393097484] [CQ:at,qq=2393097484] [CQ:face,id=306][CQ:face,id=306]，我更想玩你了
****在954475045发送规则，在1分钟之内回答答案，只要回答中包含答案的字，即可算作回答正确，将会有30题，因为最近事情比较忙，这个是赶工出来的，所以比较弱智。。
****在952792192发送规则，在1分钟之内回答答案，只要回答中包含答案的字，即可算作回答正确，将会有30题，因为最近事情比较忙，这个是赶工出来的，所以比较弱智。。
****在976813092发送规则，在1分钟之内回答答案，只要回答中包含答案的字，即可算作回答正确，将会有30题，因为最近事情比较忙，这个是赶工出来的，所以比较弱智。。
****在1005680380发送规则，在1分钟之内回答答案，只要回答中包含答案的字，即可算作回答正确，将会有30题，因为最近事情比较忙，这个是赶工出来的，所以比较弱智。。
****在863714537发送规则，在1分钟之内回答答案，只要回答中包含答案的字，即可算作回答正确，将会有30题，因为最近事情比较忙，这个是赶工出来的，所以比较弱智。。
****在954475045发送 	Q1.你知道风铃机器人的创作者叫什么吗？（2字）
****在952792192发送 	Q1.你知道风铃机器人的创作者叫什么吗？（2字）
****在976813092发送 	Q1.你知道风铃机器人的创作者叫什么吗？（2字）
****在1005680380发送 	Q1.你知道风铃机器人的创作者叫什么吗？（2字）
****在863714537发送 	Q1.你知道风铃机器人的创作者叫什么吗？（2字）
 takepart 2937954408‮～喵‭   在 群954475045 说了 腰疼
 takepart 317803349李老father   在 群863714537 说了 em
 takepart 317803349李老father   在 群863714537 说了 风妈
****在863714537发送queshi
 takepart 317803349李老father   在 群863714537 说了 风铃妈妈
****在954475045发送1分钟到了，本次答案为：风铃
第1名为李老father获得5分
****在952792192发送1分钟到了，本次答案为：风铃
第1名为李老father获得5分
****在976813092发送1分钟到了，本次答案为：风铃
第1名为李老father获得5分
****在1005680380发送1分钟到了，本次答案为：风铃
第1名为李老father获得5分
****在863714537发送1分钟到了，本次答案为：风铃
第1名为李老father获得5分
****在954475045发送	Q2.你知道风铃的发色是什么色吗？（2字）
****在952792192发送	Q2.你知道风铃的发色是什么色吗？（2字）
****在976813092发送	Q2.你知道风铃的发色是什么色吗？（2字）
****在1005680380发送	Q2.你知道风铃的发色是什么色吗？（2字）
****在863714537发送	Q2.你知道风铃的发色是什么色吗？（2字）
 takepart 317803349李老father   在 群863714537 说了 嚯
 takepart 635691684风   在 群976813092 说了 [CQ:face,id=306]你是不是没有报名。
 takepart 317803349李老father   在 群863714537 说了 黄色
 takepart 317803349李老father   在 群863714537 说了 橙色
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 橙黄色？
 takepart 317803349李老father   在 群863714537 说了 橘色
 takepart 2429903694หญ้า（不熬夜版本day6）   在 群952792192 说了 黄色
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 [CQ:image,file=9c2b6deb05fc4e1b737fa6231538af93.image]
 takepart 3524805398是呐呐哦   在 群976813092 说了 黄色
 takepart 635691684风   在 群976813092 说了 因为没有发现显示你
 takepart 635691684小小贝贝   在 群952792192 说了 [CQ:image,file=edf107d62c015f58346a2cf25b6219a3.image]
****在976813092发送queshi
 takepart 3524805398是呐呐哦   在 群976813092 说了 金色
****在954475045发送1分钟到了，本次答案为：金色
第1名为是呐呐哦获得5分
****在952792192发送1分钟到了，本次答案为：金色
第1名为是呐呐哦获得5分
****在976813092发送1分钟到了，本次答案为：金色
第1名为是呐呐哦获得5分
****在1005680380发送1分钟到了，本次答案为：金色
第1名为是呐呐哦获得5分
****在863714537发送1分钟到了，本次答案为：金色
第1名为是呐呐哦获得5分
****在954475045发送	Q3、那你知道风铃的代表色是什么色?（2字）
****在952792192发送	Q3、那你知道风铃的代表色是什么色?（2字）
****在976813092发送	Q3、那你知道风铃的代表色是什么色?（2字）
****在1005680380发送	Q3、那你知道风铃的代表色是什么色?（2字）
****在863714537发送	Q3、那你知道风铃的代表色是什么色?（2字）
 takepart 635691684塞西莉亚   在 群954475045 说了 [CQ:image,file=81bd77617fd14a7b525ed25160b9b088.image]
 takepart 317803349李老father   在 群863714537 说了 橙橘
 takepart 635691684塞西莉亚   在 群954475045 说了 为什么 这个群没有说话！
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 ！
 takepart 1184732187人类低质量Demo   在 群954475045 说了 风铃没说话啊
 takepart 2429903694หญ้า（不熬夜版本day6）   在 群952792192 说了 黄色
 takepart 2703401354我是什么   在 群954475045 说了 .?
